Calling_Time    Time_Received_From_RoughEnough    Receive_Time
16:18:33.933   16:18:34    16:18:34.183
16:18:34.936   16:18:35    16:18:35.071
16:18:35.934   16:18:36    16:18:36.065
16:18:36.935   16:18:37    16:18:37.067
16:18:37.934   16:18:38    16:18:38.069
16:18:38.935   16:18:39    16:18:39.067
16:18:39.934   16:18:39    16:18:40.064
16:18:40.934   16:18:40    16:18:41.064
16:18:41.935   16:18:42    16:18:42.066
16:18:42.935   16:18:43    16:18:43.068
16:18:43.934   16:18:43    16:18:44.064
16:18:44.935   16:18:44    16:18:45.071
16:18:45.933   16:18:46    16:18:46.067
16:18:46.933   16:18:46    16:18:47.067
16:18:47.933   16:18:47    16:18:48.064
16:18:48.935   16:18:49    16:18:49.065
16:18:49.935   16:18:50    16:18:50.066
16:18:50.935   16:18:51    16:18:51.066
16:18:51.933   16:18:51    16:18:52.067
16:18:52.934   16:18:53    16:18:53.066
16:18:53.935   16:18:54    16:18:54.067
16:18:54.934   16:18:54    16:18:55.064
16:18:55.934   16:18:56    16:18:56.067
16:18:56.934   16:18:56    16:18:57.064
16:18:57.933   16:18:57    16:18:58.067
16:18:58.935   16:18:59    16:18:59.067
16:18:59.933   16:18:59    16:19:00.064
16:19:00.935   16:19:00    16:19:01.064
16:19:01.935   16:19:02    16:19:02.118
16:19:02.933   16:19:03    16:19:03.070
16:19:03.934   16:19:04    16:19:04.064
16:19:04.935   16:19:04    16:19:05.067
16:19:05.935   16:19:06    16:19:06.068
16:19:06.933   16:19:07    16:19:07.068
16:19:07.934   16:19:07    16:19:08.067
16:19:08.933   16:19:09    16:19:09.067
16:19:09.934   16:19:09    16:19:10.068
16:19:10.934   16:19:11    16:19:11.087
16:19:11.933   16:19:11    16:19:12.065
16:19:12.935   16:19:13    16:19:13.066
16:19:13.933   16:19:13    16:19:14.068
16:19:14.933   16:19:14    16:19:15.065
16:19:15.935   16:19:16    16:19:16.069
16:19:16.934   16:19:16    16:19:17.064
16:19:17.935   16:19:17    16:19:18.064
16:19:18.936   16:19:19    16:19:19.068
16:19:19.933   16:19:19    16:19:20.063
16:19:20.934   16:19:20    16:19:21.064
16:19:21.934   16:19:21    16:19:22.066
16:19:22.935   16:19:23    16:19:23.064
16:19:23.933   16:19:23    16:19:24.066
16:19:24.934   16:19:25    16:19:25.067
16:19:25.934   16:19:25    16:19:26.063
16:19:26.933   16:19:27    16:19:27.065
16:19:27.935   16:19:28    16:19:28.065
16:19:28.936   16:19:29    16:19:29.070
16:19:29.934   16:19:29    16:19:30.064
16:19:30.934   16:19:30    16:19:31.064
16:19:31.935   16:19:31    16:19:32.064
16:19:32.933   16:19:32    16:19:33.065
16:19:33.935   16:19:34    16:19:34.065
16:19:34.934   16:19:35    16:19:35.066
16:19:35.935   16:19:36    16:19:36.067
16:19:36.933   16:19:36    16:19:37.063
16:19:37.933   16:19:37    16:19:38.065
16:19:38.934   16:19:38    16:19:39.064
16:19:39.935   16:19:40    16:19:40.065
16:19:40.935   16:19:40    16:19:41.067
16:19:41.935   16:19:42    16:19:42.070
16:19:42.935   16:19:43    16:19:43.075
16:19:43.934   16:19:43    16:19:44.065
16:19:44.933   16:19:44    16:19:45.065
16:19:45.933   16:19:45    16:19:46.064
16:19:46.935   16:19:47    16:19:47.068
16:19:47.933   16:19:47    16:19:48.065
16:19:48.934   16:19:49    16:19:49.081
16:19:49.933   16:19:49    16:19:50.066
16:19:50.933   16:19:50    16:19:51.062
16:19:51.933   16:19:51    16:19:52.064
16:19:52.934   16:19:52    16:19:53.064
16:19:53.934   16:19:53    16:19:54.065
16:19:54.935   16:19:55    16:19:55.066
16:19:55.934   16:19:55    16:19:56.065
16:19:56.933   16:19:56    16:19:57.067
16:19:57.933   16:19:58    16:19:58.074
16:19:58.935   16:19:59    16:19:59.069
16:19:59.934   16:19:59    16:20:00.065
16:20:00.935   16:20:01    16:20:01.066
16:20:01.933   16:20:01    16:20:02.063
16:20:02.933   16:20:02    16:20:03.063
16:20:03.934   16:20:03    16:20:04.066
16:20:04.935   16:20:05    16:20:05.066
16:20:05.934   16:20:06    16:20:06.065
16:20:06.934   16:20:06    16:20:07.065
16:20:07.935   16:20:08    16:20:08.066
16:20:08.934   16:20:08    16:20:09.063
16:20:09.935   16:20:10    16:20:10.068
16:20:10.934   16:20:10    16:20:11.063
16:20:11.933   16:20:11    16:20:12.067
16:20:12.934   16:20:13    16:20:13.065
